prompt_version,model_name,email_id,event_date,event_type,event_time,meal_type,attendee_count,external_guests,catering_type,office_location,dietary_requirements,room_location,av_equipment,extra_arrangements,missing_fields,draft_reply
v1,gpt-4o,11,May 18,client workshop,,lunch,15,,sandwiches and salads,,,Grand Cafe,,reserve a table for the group,"[""event_time"", ""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o,12,"Tuesday, July 7",strategy meeting,09:00 to 15:00,light breakfast and lunch,18,,,Utrecht office,To be confirmed,room B201,,,"[""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,13,June 14,coding bootcamp,10:00 to 17:00,snacks and drinks,25,a few from our partner company,,Amsterdam office,,Training Room A,,,"[""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,14,"Friday, April 21",leadership team lunch,,lunch,8,,sandwiches and fruit platter,,,Paris room,,coffee and tea,"[""event_time"", ""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o,15,March 30,networking event,14:00 to 18:00,finger foods and soft drinks,20,Deloitte,,,To be confirmed,Training Room C,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,16,"Monday, June 14",brainstorming session,,pastries and coffee,To be confirmed,,casual,,,A102,,,"[""event_time"", ""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,17,"Friday, October 23",farewell gathering,,lunch,15,,catered,Hilversum office,vegan,Grand Cafe,,,"[""event_time"", ""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,18,"Wednesday, February 10",workshop,full day,light lunch with sandwiches and drinks,To be confirmed,,light lunch and snacks,Wibaut office,,training room,,snacks for the afternoon session,"[""external_guests"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o,19,March 5,meeting,10:00 AM to 2:00 PM,lunch,12,,,Amsterdam,vegetarian options,B212,,,"[""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,20,"Tuesday, July 8",,9 AM until 4 PM,"coffee and snacks, simple lunch",16,,,Paris,To be confirmed,Laap location,,,"[""event_type"", ""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,21,"Thursday, July 15",executive roundtable,8:00 AM,light breakfast,12,,"pastries, coffee, and tea",Amsterdam office,gluten-free options,Paris room,,,"[""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,22,"Wednesday, August 10",strategy workshop,2 PM to 5 PM,sandwiches and coffee,15,5,,,,room 3.02,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,23,"Monday, September 5",knowledge-sharing session,,lunch,To be confirmed,a few partners,catered,Hilversum office,vegetarian option,,,,"[""event_time"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,24,"Friday, June 25",team-building event,,barbecue lunch,about 25,,,Paris office,,rooftop terrace,projector,,"[""event_time"", ""external_guests"", ""catering_type"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o,25,"Friday, October 22",kick-off meeting,10:00 AM to 3:00 PM,"snacks, coffee, and tea",To be confirmed,,,,,Berlin room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,26,"Thursday, April 13",strategy session,10:00 AM to 4:00 PM,lunch,15,,,,vegetarian options,Amsterdam room,projector,,"[""external_guests"", ""catering_type"", ""office_location"", ""extra_arrangements""]",
v1,gpt-4o,27,"Monday, March 8",get-together,2:00 to 5:00 PM,coffee and snacks,8,,,,,Grand Café,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,28,"Friday, November 15",brainstorming session,9:00 AM,light breakfast,12,Deloitte,,,,Paris room,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,29,"Wednesday, August 23",training day,,lunch,18,,,,,B203,,,"[""event_time"", ""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,30,Next Tuesday,visit,1:00 PM to 5:00 PM,coffee and tea service,20,Salesforce,,,To be confirmed,training room A101,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,31,March 15th,strategy catch-up,10:00 AM to 12:00 PM,light snacks and coffee,8,,,,,Room B211,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,32,February 5th,,,lunch,14,3,simple lunch with assorted sandwiches and a vegetarian option,Rotterdam,To be confirmed,,,water and tea available throughout the meeting,"[""event_type"", ""event_time"", ""room_location"", ""av_equipment""]",
v1,gpt-4o,33,April 22nd,team meeting,8:30 AM,breakfast,10,,pastries and fruit,,,Room 3.02,,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,34,July 9th,project review session,2 PM to 5 PM,coffee and snacks,15,,,Amsterdam office,To be confirmed,A302,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v1,gpt-4o,35,August 3rd,workshop,9:00 AM to noon,sandwiches and drinks,6,2,,Hilversum,To be confirmed,,,,"[""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,36,"Wednesday, July 22",internal workshop,10:00 AM to 3:00 PM,lunch,18,,salads and sandwiches,Hilversum office,vegan,training room,projector,,"[""external_guests"", ""extra_arrangements""]",
v1,gpt-4o,37,"Friday, August 7th",partner meeting,11:00 AM to 3:00 PM,Lunch,12,,mix of wraps and fruit platters,Wibaut office,To be confirmed,,,,"[""external_guests"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,38,"Monday, September 14",team-building session,2:00 PM,snacks and drinks,around 25,,,,,Bangalore room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,39,"Thursday, October 15th",client meeting,1:00 PM until 5:00 PM,lunch,15,,catered,Amsterdam,vegetarian options,Paris room,,chairs in a semicircle,"[""external_guests"", ""av_equipment""]",
v1,gpt-4o,40,"Tuesday, November 3",internal product demo,,lunch,20,,sandwiches,Wibaut office,,Training Room A,projector,,"[""event_time"", ""external_guests"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o,41,October 25,strategy session,14:00 to 18:00,"light refreshments, maybe sandwiches and drinks",18,4,,Laap office,To be confirmed,larger training rooms,,,"[""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,42,"Friday, November 7",meeting,10:00 AM to 1:00 PM,lunch,15,3,simple catered lunch,Hilversum office,vegetarian-friendly option,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,43,"Monday, October 20",internal workshop,9:00 AM to 3:00 PM,coffee and tea with snacks,25,,,Wibaut office,To be confirmed,,,,"[""external_guests"", ""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,44,October 12,meeting,8:30 to 11:30,breakfast,12,partners from Appian,"selection of pastries, fruits, and juices",Amsterdam office,To be confirmed,Boardroom,,,"[""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,45,"Friday, December 1",team-building event,16:00,dinner,30,,buffet-style,,,Grand Café,To be confirmed,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o,46,March 14th,small gathering,,lunch,18,,Sandwiches or a small buffet,,To be confirmed,Paris room,,,"[""event_time"", ""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,47,January 22nd,welcoming breakfast,8:30 AM,breakfast,15,,"mix of pastries, fruits, coffee, and juice",Berlin,,Grand Café,projector,,"[""external_guests"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o,48,October 10th,client workshop,,lunch,25,,simple lunch with sandwiches and salads,Hilversum office,To be confirmed,training room,,,"[""event_time"", ""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,49,November 3rd,internal team-building session,13:00,light dinner,30,,,Utrecht office,vegetarian preferences,,,,"[""external_guests"", ""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o,50,February 5th,meeting,10:00 AM,"coffee, tea, and some snacks",10,,,,To be confirmed,Boardroom,,,"[""external_guests"", ""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,1,"Thursday, March 5th",workshop,10:00 AM to 3:00 PM,"light lunch, sandwiches and salads",18,True,coffee and tea,,,Orange Room,,,"[""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,2,"Monday, April 14th",tech talk,1:00 PM,pizzas,25,,,Wibaut office,,To be confirmed,,,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,3,"Wednesday, July 22",partner event,2:00 PM to 6:00 PM,refreshments and snacks,15,,,,,,yes,post-meeting dinner,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""room_location""]",
v1,gpt-4o-mini,4,May 8th,strategy session,12:30 PM,lunch,7,,wraps and salads,,gluten-free,Paris Room,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,5,June 10th,client engagement session,10:00 AM to 4:00 PM,lunch,20,some visitors from Ericsson,buffet with multiple dietary options,Grand Café,,,,,"[""dietary_requirements"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,6,"Thursday, September 15",leadership workshop,,light lunch,18,To be confirmed,selection of salads and wraps,,To be confirmed,A202,projector,,"[""event_time"", ""office_location"", ""extra_arrangements""]",
v1,gpt-4o-mini,7,2023-03-10,workshop,09:00 AM,breakfast,25,,simple,Hilversum,,meeting room,,,"[""external_guests"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,8,2023-10-03,strategy session,10:00 to 15:00,lunch,15,,mix of sandwiches and a fruit platter,,To be confirmed,G110,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,9,"Thursday, July 7th",roundtable discussion,,refreshments,10,TechAdvantage,,Laap,,Paris,,"coffee, tea, and snacks","[""event_time"", ""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o-mini,10,"Friday, August 20th",internal training session,2:00 PM to 5:00 PM,,12,,coffee station,Wibaut office,,training room II,,,"[""meal_type"", ""external_guests"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,11,May 18,client workshop,,lunch,15,,sandwiches and salads,,,Grand Cafe,,reserve a table for the group,"[""event_time"", ""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o-mini,12,"Tuesday, July 7",strategy meeting,09:00,light breakfast and lunch with a vegetarian option,18,,,Utrecht,To be confirmed,B201,,,"[""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,13,June 14,coding bootcamp,10:00 to 17:00,snacks and drinks,25,a few from our partner company,,Amsterdam,,Training Room A,,,"[""catering_type"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,14,"Friday, April 21",lunch,,catered lunch,8,,sandwiches and fruit platter,,,Paris room,,coffee and tea,"[""event_time"", ""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o-mini,15,March 30,networking,14:00 to 18:00,finger foods and soft drinks,20,Deloitte,,,To be confirmed,Training Room C,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,16,"Monday, June 14",brainstorming session,,pastries and coffee,8-10,,,,,A102,,To be confirmed,"[""event_time"", ""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o-mini,17,October 23,farewell gathering,,catered lunch,15,,,Hilversum,vegan options,Grand Cafe,,,"[""event_time"", ""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,18,2023-02-10,workshop,,light lunch with sandwiches and drinks,18,,snacks for the afternoon session,Wibaut office,,training room,,,"[""event_time"", ""external_guests"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,19,March 5,meeting,10:00 AM to 2:00 PM,lunch with vegetarian options,12,,,Amsterdam,vegetarian,B212,,,"[""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,20,"Tuesday, July 8",,9 AM until 4 PM,"coffee and snacks, simple lunch",16,,,Paris,To be confirmed,Laap,,,"[""event_type"", ""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,21,"Thursday, July 15",executive roundtable,8:00 AM,light breakfast,12,,"pastries, coffee, and tea",Amsterdam,gluten-free options,Paris,,,"[""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,22,"Wednesday, August 10",strategy workshop,2 PM to 5 PM,sandwiches and coffee,15,5,,,,room 3.02,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,23,September 5,knowledge-sharing session,,catered lunch,20,a few partners,Sandwiches and a salad bar with a vegetarian option,Hilversum,vegetarian option,,,final count to be confirmed,"[""event_time"", ""room_location"", ""av_equipment""]",
v1,gpt-4o-mini,24,"Friday, June 25",team-building,,barbecue lunch,25,some colleagues from our Paris office,,,,rooftop terrace,projector,,"[""event_time"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o-mini,25,"Friday, October 22",kick-off meeting,10:00 AM to 3:00 PM,"snacks, coffee, and tea",,,,,,Berlin room,,,"[""attendee_count"", ""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,26,"Thursday, April 13",strategy session,10:00 AM to 4:00 PM,lunch,15,,vegetarian options,,vegetarian,Amsterdam room,projector,,"[""external_guests"", ""office_location"", ""extra_arrangements""]",
v1,gpt-4o-mini,27,"Monday, March 8",get-together,2:00 to 5:00 PM,snacks,8,,coffee and snacks,,,Grand Café,,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,28,November 15,brainstorming session,9:00 AM,light breakfast,12,,,,,Paris room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,29,2023-08-23,training,,To be confirmed,18,,,,,B203,,,"[""event_time"", ""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,30,To be confirmed,Visit,1:00 PM to 5:00 PM,Coffee and tea service,20,Salesforce,,,To be confirmed,A101,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,31,March 15th,strategy catch-up,10:00 AM to 12:00 PM,light snacks and coffee,8,,,,,Room B211,,To be confirmed,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4o-mini,32,February 5th,,,simple lunch with assorted sandwiches and a vegetarian option,14,3,,Rotterdam,To be confirmed,,,water and tea available throughout the meeting,"[""event_type"", ""event_time"", ""catering_type"", ""room_location"", ""av_equipment""]",
v1,gpt-4o-mini,33,April 22nd,meeting,8:30 AM,breakfast,10,,pastries and fruit,,,Room 3.02,,,"[""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,34,July 9th,project review session,2 PM to 5 PM,coffee and snacks,15,,,Amsterdam,To be confirmed,A302,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v1,gpt-4o-mini,35,August 3rd,workshop,9:00 AM to noon,sandwiches and drinks,6,2,,Hilversum,To be confirmed,,,,"[""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,36,"Wednesday, July 22",internal workshop,10:00 AM to 3:00 PM,salads and sandwiches,18,,,Hilversum,vegan,To be confirmed,projector,,"[""external_guests"", ""catering_type"", ""extra_arrangements""]",
v1,gpt-4o-mini,37,"Friday, August 7th",partner meeting,11:00 AM to 3:00 PM,wraps and fruit platters,12,,,Wibaut office,To be confirmed,,,,"[""external_guests"", ""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,38,"Monday, September 14",team-building session,2:00 PM,snacks and drinks,25,,,,,Bangalore room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,39,2023-10-15,client meeting,1:00 PM - 5:00 PM,catered lunch with vegetarian options,15,,,Amsterdam,vegetarian options,Paris room,,setup with chairs in a semicircle,"[""external_guests"", ""catering_type"", ""av_equipment""]",
v1,gpt-4o-mini,40,"Tuesday, November 3",internal product demo,,lunch,20,,light like sandwiches,Wibaut office,,Training Room A,projector,,"[""event_time"", ""external_guests"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o-mini,41,October 25,strategy session,14:00 to 18:00,"light refreshments, sandwiches and drinks",18,4,,Laap office,To be confirmed,larger training rooms,,,"[""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,42,November 7,meeting,10:00 AM to 1:00 PM,catered lunch,15,3,sandwiches and salads,Hilversum,vegetarian-friendly,,,,"[""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,43,"Monday, October 20",internal workshop,9:00 AM - 3:00 PM,coffee and tea setup with snacks,25,To be confirmed,,Wibaut office,gluten-free,,,,"[""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,44,2023-10-12,meeting,8:30 to 11:30,breakfast,12,1,"pastries, fruits, and juices",Amsterdam,To be confirmed,Boardroom,,,"[""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,45,December 1,team-building,16:00,buffet-style dinner,30,,,Grand Café,,,To be confirmed,,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""room_location"", ""extra_arrangements""]",
v1,gpt-4o-mini,46,March 14th,,,lunch,18,,Sandwiches or a small buffet,,To be confirmed,Paris room,,,"[""event_type"", ""event_time"", ""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,47,January 22nd,breakfast,8:30 AM,"mix of pastries, fruits, coffee, and juice",15,,,Berlin,,Grand Café,projector,,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""extra_arrangements""]",
v1,gpt-4o-mini,48,2023-10-10,client workshop,,lunch,25,,sandwiches and salads,Hilversum,To be confirmed,training room,,,"[""event_time"", ""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,49,November 3rd,internal team-building session,13:00,light dinner,30,,,Utrecht,vegetarian preferences,,,,"[""external_guests"", ""catering_type"", ""room_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4o-mini,50,February 5th,meeting,10:00 AM,"coffee, tea, and snacks",10,,,,To be confirmed,Boardroom,,,"[""external_guests"", ""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,1,2023-03-05,workshop,10:00 AM to 3:00 PM,"light lunch, sandwiches and salads",18,some external guests,,,,Orange Room,,coffee and tea for the morning session,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,2,"Monday, April 14th",tech talk,around 1:00 PM,pizzas or something easy,25,,,Wibaut office,,reserve a suitable room for the entire afternoon,,Let me know what options are available,"[""external_guests"", ""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,3,"Wednesday, July 22",partner event,2:00 PM to 6:00 PM,refreshments and snacks,15,,,,,,AV equipment for presentations,post-meeting dinner,"[""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""room_location""]",
v1,gpt-4.1-nano,4,2023-05-08,strategy session,To be confirmed,lunch,7,,wraps and salads,,gluten-free,Paris Room,,,"[""external_guests"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,5,June 10th,client engagement session,10:00 AM to 4:00 PM,buffet,20,some visitors from Ericsson,lunch catered,,multiple dietary options,Grand Café,,To be confirmed,"[""office_location"", ""av_equipment""]",
v1,gpt-4.1-nano,6,"Thursday, September 15",leadership workshop,To be confirmed,light lunch,18,a mix of internal and external stakeholders,salads and wraps,,by Tuesday,A202,projector,To be confirmed,"[""office_location""]",
v1,gpt-4.1-nano,7,"Thursday, March 10",client workshop,9:00 AM,breakfast,25,,simple,Hilversum office,,meeting room,,,"[""external_guests"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,8,"Monday, October 3rd",strategy session,10:00 to 3:00 PM,lunch,15,,,,To be confirmed,G110 room,,,"[""external_guests"", ""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,9,"Thursday, July 7th",roundtable discussion,,"coffee, tea, snacks",10,2,refreshments,Laap office,,Paris room,,prepare the Paris room,"[""event_time"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,10,2023-08-20,internal training session,14:00-17:00,not required,12,,coffee station,Wibaut office,,training room II,,coffee station nearby,"[""external_guests"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,11,May 18,client workshop,,lunch with sandwiches and salads,15,KLM,simple lunch,,,Grand Cafe,,reserve a table for the group,"[""event_time"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,12,"Tuesday, July 7",strategy meeting,09:00 to 15:00,"light breakfast, lunch",18,,,Utrecht,To be confirmed,B201,,,"[""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,13,June 14,coding bootcamp,10:00 to 17:00,snacks and drinks,25,a few from our partner company,,Amsterdam office,,Training Room A,,snacks and drinks,"[""catering_type"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,14,"Friday, April 21",leadership team lunch,,catered lunch,8,,sandwiches and fruit platter,,,Paris room,,coffee and tea,"[""event_time"", ""external_guests"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,15,March 30,networking event,14:00 to 18:00,finger foods and soft drinks,20,some guests from Deloitte,,,To be confirmed,Training Room C,,,"[""catering_type"", ""office_location"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,16,"Monday, June 14",brainstorming session,,pastries and coffee,8-10,,,,,A102,,To be confirmed,"[""event_time"", ""external_guests"", ""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment""]",
v1,gpt-4.1-nano,17,"Friday, October 23",farewell gathering,To be confirmed,catered lunch,15,,catered,Hilversum office,vegan options,Grand Cafe,,,"[""external_guests"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,18,"Wednesday, February 10",workshop,full day,light lunch with sandwiches and drinks,To be confirmed,,,Wibaut office,snacks for the afternoon session,training room,,some snacks for the afternoon session,"[""external_guests"", ""catering_type"", ""av_equipment""]",
v1,gpt-4.1-nano,19,2024-03-05,meeting,10:00 AM to 2:00 PM,vegetarian options,12,Appian,,Amsterdam,vegetarian options,B212,,,"[""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,20,"Tuesday, July 8",meeting,9 AM until 4 PM,lunch,16,,"coffee, snacks, lunch",Paris,No special dietary requirements,Laap location,,Arrange for coffee and snacks throughout the day,"[""external_guests"", ""av_equipment""]",
v1,gpt-4.1-nano,21,"Thursday, July 15",executive roundtable,8:00 AM,light breakfast,12,,,Amsterdam,gluten-free options,Paris room,,,"[""external_guests"", ""catering_type"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,22,"Wednesday, August 10",strategy workshop,2 PM to 5 PM,sandwiches and coffee,15,1,,,,room 3.02,,,"[""catering_type"", ""office_location"", ""dietary_requirements"", ""av_equipment"", ""extra_arrangements""]",
v1,gpt-4.1-nano,23,"Monday, September 5",knowledge-sharing session,,catered lunch,20,a few partners,sandwiches and a salad bar,Hilversum office,vegetarian option,,,I'll send you the final count by next week,"[""event_time"", ""room_location"", ""av_equipment""]",
v1,gpt-4.1-nano,24,"Friday, June 25",team-building event,To be confirmed,barbecue lunch,25,some colleagues from our Paris office,barbecue,,,rooftop terrace,projector,weather permitting,"[""office_location"", ""dietary_requirements""]",
