email_id,email_text
11,"Morning,

We have a client workshop scheduled for May 18. The client is KLM, and we expect around 15 people. Could we arrange a simple lunch with sandwiches and salads in the Grand Cafe? Also, could you reserve a table for the group?

Sorry for the late notice, I just confirmed the details. If you need any more info, let me know!

Thanks!"
12,"Hi Team,

We are planning a strategy meeting for Tuesday, July 7 at our Utrecht office. We should kick off around 09:00 and wrap up by 15:00. Could we have a light breakfast ready for about 18 people and lunch with a vegetarian option?

The meeting will be in room B201. I haven’t gotten all dietary preferences yet, but I’ll pass them along as soon as I have them.

Thanks for the help!"
13,"Hello,

On June 14, we want to run a coding bootcamp at the Amsterdam office. Can we use Training Room A for the day? We'll need it from 10:00 to 17:00. Also, could you arrange for some snacks and drinks to be available throughout the day?

Expecting around 25 attendees, mostly internal folks but a few from our partner company as well. Let me know if there are any issues!

Best,"
14,"Hi Hospitality,

We're planning a leadership team lunch on Friday, April 21. It'll be a small group, just 8 people. Is it possible to arrange a catered lunch in the Paris room? Nothing too fancy, just some sandwiches and maybe a fruit platter.

Oh, and if we could have some coffee and tea available, that would be great too. Let me know what works!

Regards,"
15,"Good afternoon,

I need to organize a small networking event on March 30. We'll have about 20 attendees, including some guests from Deloitte. Can we book Training Room C from 14:00 to 18:00 and arrange a selection of finger foods and soft drinks?

I’ll send over more detailed dietary requirements soon. Appreciate the help!

Thank you."
16,"Good morning,

We are looking to host a small brainstorming session with a few of our strategic partners on Monday, June 14. It will be a casual event, just some pastries and coffee would be fine. Can we use one of the smaller rooms, maybe A102? Looking at about 8-10 people but I will confirm the numbers shortly.

Could you also let me know what the cost would be to set this up? Thanks!"
17,"Hi Hospitality,

I hope you're doing well. I'm planning a farewell gathering for a colleague on Friday, October 23 at the Hilversum office. Expected count is around 15 people. We'll need a catered lunch and it would be great if we could book the Grand Cafe for this event.

One more thing, one of our team members is vegan, so we should have some options for them too.

Thanks a lot, and sorry for the late notice!"
18,"Hello team,

On Wednesday, February 10, we want to conduct a full day workshop for one of our tech clients. It's going to be held in the Wibaut office. Can you arrange for a training room and a light lunch with sandwiches and drinks?

I haven't finalized the number of attendees yet, but I anticipate no more than 18. Could you also have some snacks ready for the afternoon session?

Thanks in advance!"
19,"Hi everyone,

We have a last-minute request to host a small meeting next Thursday, March 5, at our Amsterdam office for our client, Appian. It would be from 10:00 AM to 2:00 PM, and we expect 12 attendees in total.

Could we have a lunch with some vegetarian options, please? Also, could you check if B212 is available for this?

Thanks a lot!"
20,"Dear Hospitality team,

We have a group visiting from our Paris office on Tuesday, July 8. We need to reserve a meeting space at the Laap location from 9 AM until 4 PM. Around 16 people are expected.

Could you also arrange for coffee and snacks throughout the day and a simple lunch around noon? There are no special dietary requirements that I'm aware of, but I will update you if needed.

Thanks for your help!"
21,"Hello Hospitality,

I hope you're doing well! On Thursday, July 15, we're planning to host an executive roundtable with a few of our key partners. It'll be in the Amsterdam office, and we've reserved the Paris room. Could you arrange for a light breakfast setup for 12 attendees? Something simple like pastries, coffee, and tea would be perfect. I will confirm the attendee list later this week.

Sorry for the late notice, but we'd need everything ready by 8:00 AM. Also, we have one attendee who requires gluten-free options.

Thanks a lot for your help!"
22,"Hi team,

On Wednesday, August 10, we have a strategy workshop scheduled with our client Shell. They're bringing along 5 colleagues. I’ve booked room 3.02 from 2 PM to 5 PM. Could we get some sandwiches and coffee for around 15 people?

Apologies for the last-minute request; I've been swamped with other planning details. If you need more info, please let me know.

Thanks!"
23,"Good morning,

On Monday, September 5, we are hosting a knowledge-sharing session at the Hilversum office. We expect around 20 participants, mostly internal, but a few partners will join as well.

Can you arrange for a catered lunch? Sandwiches and a salad bar would be great. We should also have a vegetarian option available. I'll send you the final count by next week.

Thanks for sorting this out!"
24,"Hi there,

We have a last-minute request for a team-building event on Friday, June 25. We're expecting about 25 people, including some colleagues from our Paris office. We'd like to use the rooftop terrace if the weather permits.

Could you organize a barbecue lunch? Also, a projector might be needed for a brief presentation.

Let me know if this is feasible. Many thanks for the help!"
25,"Dear Hospitality,

On Friday, October 22, we are planning a kick-off meeting for a new project with a few teammates joining remotely. We will be in the Berlin room from 10:00 AM to 3:00 PM.

Could you please arrange for some snacks, coffee, and tea throughout the day? We don't have the exact number of attendees yet, but I'll update you as soon as I can.

Thank you, and sorry for not having all the details at the moment!"
26,"Hi Team,

We are planning a strategy session with our partner, ING, on Thursday, April 13. Could you please reserve the Amsterdam room for us from 10:00 AM to 4:00 PM? We will need a lunch setup for about 15 people with some vegetarian options included. Also, can you check if a projector is available in that room, just in case we need it?

Thanks for the help, and please let me know if you need any further details. 

Best,
James"
27,"Hello!

I hope you're well. We're organizing a small get-together for our new hires on Monday, March 8. We'll be using the Grand Café from 2:00 to 5:00 PM. We expect around 8 people — very informal. Could we have some coffee and snacks available during this time?

Thanks so much in advance!

Cheers,
Lisa"
28,"Dear Hospitality,

On Friday, November 15, we’ll host a brainstorming session with our client, Deloitte, in the Paris room. We anticipate about 12 attendees. Is it possible to arrange a light breakfast for them when they arrive at 9:00 AM?

Apologies for the late notice — I hope this can still be arranged. Let me know if there's anything else you need from me.

Thank you,
Robert"
29,"Good morning team,

Quick question: we're hosting a training day for internal staff on Wednesday, August 23, in room B203, but we haven't yet decided whether we need lunch or not. Could you tentatively reserve a lunch for around 18 people? I will confirm by Monday next week once we have a clearer idea.

Thanks for your patience!

Best,
Anna"
30,"Hi Hospitality,

Next Tuesday, we're expecting a visit from our partner, Salesforce, for an afternoon session. We will need the training room A101 from 1:00 PM to 5:00 PM. Could you also arrange a coffee and tea service for around 20 people, please?

By the way, I might have more specifics on dietary needs soon.

Thanks a lot,
Marco"
31,"Hi Team,

I'm organizing a quick strategy catch-up on March 15th. We would like to hold it in one of the smaller rooms, preferably Room B211, if it's available from 10:00 AM to 12:00 PM. There will be about 8 people, just our core team.

Could you arrange for some light snacks and coffee? Also, if you have details on any room availability, do share. I might have forgotten to check the new booking system, sorry about that!

Thanks!"
32,"Hello Hospitality,

On February 5th, we have a potential partner visiting our office in Rotterdam. We are expecting around 14 people including 3 external guests. Could you reserve a suitable meeting room and arrange for a simple lunch with assorted sandwiches and a vegetarian option?

Additionally, it would be great to have some water and tea available throughout the meeting. I will confirm dietary restrictions by next week.

Thanks and let me know if there are any issues."
33,"Hi there,

Apologies for the late notice, but could you help arrange a breakfast setup for a small team meeting on April 22nd? We will start with a breakfast at 8:30 AM in the Grand Café and then use Room 3.02 for our discussions until noon.

Expecting around 10 people. If possible, could you include pastries and fruit in the breakfast spread? Let me know if this can be accommodated.

Thank you so much!"
34,"Good afternoon,

We have planned a project review session on July 9th at the Amsterdam office. We'll need a room like A302 from 2 PM to 5 PM for about 15 people.

It would be great to have coffee and snacks available, but I'll get back to you about any special dietary needs. Could you also check if we can have a projector set up?

Thanks in advance for your help!"
35,"Hi Team,

I'm looking to organize a small workshop on August 3rd. Very informal, about 6 of us, but we might have 2 guests joining. Can we use any available space in the Hilversum office in the morning? Ideally from 9:00 AM to noon.

Could we also get some sandwiches and drinks? I'll confirm any dietary restrictions shortly.

Sorry for the vagueness, just trying to sort out all details. Appreciate your support!"
36,"Hello team,

I hope this finds you well. On Wednesday, July 22, we plan to host an internal workshop for our DevOps team. We would love to have it at the Hilversum office. Is there availability for a training room from 10:00 AM to 3:00 PM? 

We'll need lunch for about 18 people, preferably salads and sandwiches. I believe one of our team members is vegan, so let's keep that in mind.

Could you also check if a projector is available? Thank you in advance, and apologies for the short notice on this one!

Best regards,"
37,"Good morning,

We're looking to organize a partner meeting with AWS on Friday, August 7th. It will take place in the Wibaut office. Can you please reserve a room suitable for about 12 attendees from 11:00 AM to 3:00 PM?

Lunch should be arranged as well, and it would be great to have a mix of wraps and fruit platters. I'll confirm dietary restrictions later as I'm still waiting to hear back from a few attendees.

Thanks a lot for your help!

Cheers,"
38,"Hi Hospitality,

I need your assistance with arranging a team-building session on Monday, September 14. We are expecting around 25 people and plan to start at 2:00 PM. Could you reserve the Bangalore room for the afternoon?

We won't need a full meal, just some snacks and drinks around 4:00 PM. Any suggestions on what would work best?

Thanks in advance for your support. Please let me know if additional details are required.

Regards,"
39,"Dear Team,

I'm writing to request a room for a client meeting with ING scheduled for Thursday, October 15th. We will host them at our Amsterdam office. Could you arrange the Paris room from 1:00 PM until 5:00 PM?

We anticipate about 15 attendees. Could we have a catered lunch including some vegetarian options? Also, can we have a setup with chairs in a semicircle for the discussion?

Please reach out if you have any questions. Apologies for any inconvenience as I know this is on short notice.

Thank you!"
40,"Hi all,

On Tuesday, November 3, we will be holding an internal product demo at the Wibaut office. Could you book Training Room A for the full day?

There will be around 20 of us, and we'll require lunch, ideally something light like sandwiches. There's a need for some AV equipment as well — a projector would be essential.

Thank you so much for your help with this, and let me know if I need to provide more details.

Best,"
41,"Good morning team,

On October 25, we are planning a strategy session with some of our key partners. Could you reserve a space for us at the Laap office? Perhaps one of the larger training rooms, as we expect around 18 people, including 4 from external companies. The session will run from 14:00 to 18:00, and we would like to have some light refreshments, maybe sandwiches and drinks.

I'll confirm any dietary requirements shortly. Please let me know if this can be accommodated.

Thanks in advance!"
42,"Hi Hospitality,

I need to organize a meeting with a client on Friday, November 7 at the Hilversum office. Can you block out a meeting room for us from 10:00 AM to 1:00 PM? We will be 15 in total, with 3 people from the client side. 

Could you also arrange a simple catered lunch, something easy like sandwiches and salads, and a vegetarian-friendly option would be appreciated. If there's any issue with the timing, please let me know.

Thank you very much!"
43,"Hello!

We need to arrange an internal workshop focusing on Agile practices on Monday, October 20. The idea is to hold this at the Wibaut office, starting from 9:00 AM and wrapping up by 3:00 PM.

Could you reserve a room suitable for about 25 people? Also, a coffee and tea setup with some snacks throughout the day would be great. I believe we might have a couple of guests who are gluten-free, but I'll confirm this as soon as I get the list.

Thanks for helping out!"
44,"Dear team,

Apologies for the last-minute request, but could we arrange a catered breakfast for a meeting scheduled this Thursday, October 12, at our Amsterdam office? The meeting will take place in the Boardroom from 8:30 to 11:30. 

We'll have about 12 attendees, including our partners from Appian. Just a selection of pastries, fruits, and juices should suffice. I'll provide specific dietary needs if there are any by tomorrow end of day.

Thanks a lot for your assistance!"
45,"Hi hospitality team,

We have a team-building event coming up on Friday, December 1, at the Grand Café. Starting from 16:00, we plan to have a series of fun activities ending with a dinner around 18:30.

Can you arrange space for about 30 people? We might need AV equipment for some presentations, but I'll check on that. Also, a buffet-style dinner would be fantastic. If you could let me know the available options, that would be great.

Looking forward to your response. Thanks!"
46,"Hello Team,

We are planning a small gathering with our DevOps partners on March 14th, and we would like to host it in the Paris room if possible. There will be around 18 of us, and we're thinking a lunch would be nice. Sandwiches or a small buffet would work well. I'm not entirely sure about the dietary requirements yet, so I'll get back to you with that information. Could you let us know if the room is available and if the catering can be arranged?

Thanks in advance!"
47,"Morning Hospitality,

On January 22nd, our colleagues from the Berlin office will be visiting. We would love to have a welcoming breakfast for them at the Grand Café starting at 8:30 AM. There will be 15 people, and a mix of pastries, fruits, coffee, and juice would be appreciated. We might also need a projector for a short presentation. Can you let us know if this is feasible?

Best regards,"
48,"Hi there,

Apologies for the late request, but we have a client workshop scheduled for next Tuesday, October 10th, at the Hilversum office. We need a training room for about 25 participants. Can you also arrange a simple lunch with sandwiches and salads? I'll confirm the exact number and any dietary restrictions later today.

Thank you so much for your help!"
49,"Dear Hospitality,

We are organizing an internal team-building session on November 3rd at the Utrecht office. It will start at 13:00 and continue into the evening. We are looking to have a light dinner set up in the evening around 19:00. There will be about 30 of us, and a few of us have vegetarian preferences. Can you assist in setting this up?

Looking forward to your reply."
50,"Hi Hospitality Team,

I'm arranging a meeting with our new partner, TechSavvy, on February 5th. It's a small group of 10, and we'll need the Boardroom from 10:00 AM to discuss some projects. Could you also arrange coffee, tea, and some snacks? I'm still waiting to hear if there are any dietary issues, but I wanted to let you know as soon as possible.

Thanks for your assistance!"
